Window_bins,Window_km,Mean_JS,Max_JS,Mean_reduction_vs_original,Delta_mean_vs_10bin,Delta_max_vs_10bin
5,5,0.0335465325299502,0.0543233623464734,0.00198706702365401,0.000976187779913679,0.00194925765801438
10,10,0.0325703447500366,0.0523741046884591,0.00296325480356769,0,0
15,15,0.0320373689502504,0.0516228050321095,0.00349623060335385,-0.000532975799786159,-0.000751299656349597
20,20,0.0316757541213219,0.0513274544399912,0.00385784543228232,-0.00089459062871463,-0.00104665024846788
30,30,0.031262263134591,0.0509445979360578,0.00427133641901328,-0.00130808161544559,-0.00142950675240128
